N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,넷마블,"61,800",200,+0.32%,100,"53,119","85,954",22.55,"235,380",-17.79,4.29,
60,SK바이오팜,"66,700","2,000",+3.09%,500,"52,235","78,313",6.34,"138,101",-107.75,15.75,
61,삼성엔지니어링,"26,250",950,-3.49%,"5,000","51,450","196,000",43.30,"1,565,777",10.66,20.67,
62,맥쿼리인프라,"12,470",30,+0.24%,0,"50,484","404,846",13.80,"591,769",N/A,N/A,
63,TIGER CD금리투자KIS(합성),"51,985",10,+0.02%,0,"49,482","95,186",0.00,"367,603",N/A,N/A,
64,오리온,"125,000","3,100",-2.42%,500,"49,420","39,536",40.37,"124,545",16.28,12.75,
65,삼성중공업,"5,500",150,-2.65%,"1,000","48,400","880,000",16.75,"5,384,693",-6.84,-36.89,
66,LG유플러스,"11,070",280,+2.59%,"5,000","48,333","436,611",38.46,"1,785,365",8.10,9.47,
67,CJ제일제당,"321,000",0,0.00%,"5,000","48,324","15,054",24.39,"68,414",7.88,10.76,
68,한온시스템,"9,030",100,-1.10%,100,"48,202","533,800",16.48,"869,565",31.57,13.83,
69,HD현대,"59,400",900,-1.49%,"1,000","46,922","78,993",18.81,"221,853",4.17,-1.99,
70,현대제철,"35,000","1,050",-2.91%,"5,000","46,706","133,446",23.18,"611,753",2.87,8.54,
71,SK아이이테크놀로지,"65,400",300,+0.46%,"1,000","46,629","71,298",7.16,"324,557",-96.89,5.57,
72,금호석유,"157,300","4,700",-2.90%,"5,000","46,111","29,314",21.86,"198,224",4.47,47.76,
73,한국타이어앤테크놀로지,"37,200",250,-0.67%,500,"46,082","123,875",36.56,"495,455",6.34,7.69,
74,한화에어로스페이스,"90,000","1,000",+1.12%,"5,000","45,567","50,630",28.20,"685,814",24.64,9.21,
75,미래에셋증권,"7,150",200,+2.88%,"5,000","43,995","615,316",12.72,"1,080,010",7.64,11.66,
76,한국항공우주,"45,100",250,+0.56%,"5,000","43,961","97,475",23.49,"829,870",33.94,5.19,
77,강원랜드,"20,200",100,-0.49%,500,"43,216","213,940",20.21,"925,407",45.29,-0.33,
78,메리츠증권,"7,020",180,+2.63%,"1,000","43,176","615,041",14.60,"2,026,052",5.85,15.77,
79,현대건설,"36,400",950,-2.54%,"5,000","40,533","111,356",25.19,"641,831",6.10,5.89,
80,유한양행,"52,700",100,-0.19%,"1,000","40,389","76,639",19.86,"174,421",54.90,5.45,
